页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4447694258451724,上海发布,2019-12-09 21:00:08,【上海迪士尼边上的古镇，有空过去兜兜吧↓】#连线各区#川沙新镇是中国历史文化名镇 ，隶属浦东新区，西靠黄浦江，东南端水域为长江与东海的汇合处。黄炎培故居、宋氏家族居住地、川沙天主堂、张闻天故居、川沙公园、川沙古城墙……来看TA的最新视频via@浦东发布   上海发布的秒拍视频 ,36,20,55
1,4546211371813906,浦东发布,2020-09-06 17:31:58,#浦东涨知识# 张闻天故居位于浦东哪个镇呢？  网页链接 ,0,0,205
1,4872231844317553,合庆卫士,2023-02-23 09:00:56,【合庆派出所至张闻天故居开展参观见学活动】         2月22日下午，合庆派出所党支部组织民警、辅警代表至张闻天故居开展参观见学活动。通过本次参观学习活动，全体同志接受了一次党性教育和思想洗礼，深受鼓舞，切实激发了责任感与使命感，切实做到不忘初心、牢记使命、廉洁自律、忠诚履职。 ,0,0,0
1,4812173228118385,乐游上海,2022-09-10 15:29:26,#建筑可阅读#声闻于天，东海之滨的一张红色名片。张闻天故居坐落于东海之滨的浦东新区祝桥镇邓三村（川南奉公路4398号）。故居占地面积686平方米，建筑面积495平方米，2001年被国务院公布为第五批全国重点文物保护单位，这也是浦东唯一一处全国重点文物保护单位。声闻于天，东海之滨的一张红色名片｜建筑可阅读 ,0,0,1
1,4791064277551121,无锡日报,2022-07-14 09:30:00,【今天起，这些地方恢复开放】根据无锡市疫情防控的最新要求，经全面消杀、从业人员健康监测，14日起，无锡博物院，无锡市公共文化艺术发展中心，无锡市东林书院和名人故居管理中心下属六大场馆东林书院、秦邦宪故居、顾毓琇纪念馆、钱锺书故居、张闻天旧居、薛福成故居恢复开放。闭馆闭园期间，锡城文化场馆开展全面防控消杀，安排人员值守，持续做好从业人员健康管理，随时做好开放准备，为市民游客提供安全、安心的游览环境。无锡博物院提醒，所有观众参观均实行实名制预约，请在无锡博物院官方网站或灵锡APP上进行预约，亦可携带身份证现场取票入馆。市公共文化艺术发展中心、市东林书院和名人故居管理中心提醒，各位游客进入景区、场馆须佩戴口罩，接受工作人员查验“门铃码”、72小时核酸阴性证明或24小时采样证明，配合测温后方可进入。（无锡日报）,0,0,1
1,4790893149948763,江南晚报,2022-07-13 22:10:00,#无锡新闻#【这些地方明起恢复开放！】从无锡博物院、无锡市东林书院获悉，根据无锡市疫情防控工作的最新精神，在严格落实疫情防控各项规定的前提下，7月14日起，无锡博物院、无锡市东林书院和名人故居管理中心下属六大场馆东林书院、秦邦宪故居、顾毓琇纪念馆、钱锺书故居、张闻天旧居、薛福成故居恢复开放。（晚报记者：毛岑岑；责编：匡吉）,2,0,1
1,4790866587421213,无锡eTV全媒体,2022-07-13 20:24:27,【东林书院、薛福成故居、秦邦宪故居、顾毓琇纪念馆、钱锺书故居、张闻天旧居明日起恢复开馆】1、2022年7月14日起#六场馆恢复开放# ，场馆开放时间为9:00-17:00(16:30停止入馆)。2、场馆入口处对游客进行“门铃码”、“行程卡”、核酸报告查验，体温检测，“门铃码”、“行程码”显示为“绿码”、持有 72 小时核酸阴性证明或 24 小时核酸采样证明且体温正常的游客方可进入场馆。#无锡疫情防控#,6,7,21
1,4788269176330160,浦东发布,2022-07-06 16:23:16,【看老相机、参观银盐暗房、玩蓝晒……小布带你直击上海老相机摄影博物馆恢复开放首日】#浦东好白相# 继7月1日首批恢复开放了上海中国航海博物馆、观复博物馆、上海科技馆等后，7月5日，浦东迎来了又一波博物馆、纪念馆恢复开放小高潮。除了浦东新区文保所所属的张闻天故居、黄炎培故居、浦东开发陈列馆这3座场馆外，在北蔡镇的一座办公园区，上海老相机摄影博物馆也悄悄恢复开放了。↓,0,0,3
1,4787632917453194,浦东发布,2022-07-04 22:15:00,【7月5日，浦东又有4座博物馆恢复开放啦】#上海战疫# 小布从浦东新区文物保护管理所获悉，根据上海市疫情防控工作总体安排，文保所所属博纪场馆张闻天故居、黄炎培故居、浦东开发陈列馆将于7月5日（本周二）恢复开放。浦东新区南汇博物馆、上海吴昌硕纪念馆闭馆改陈修缮，暂不对外开放。详见↓ #上海加油#,1,0,3
